row_id,order_id,created_at,item_id,quantity,cust_name,in_or_out,recipe_id,item_name,item_cat,item_size,item_price
31,ORD022,"2024-02-12 08:45:24",It014,1,Peyton,,HDR-HCH-LG,"Hot Chocolate","Hot Drinks",Large,4.60
32,ORD023,"2024-02-12 08:50:11",It008,1,Alex,out,HDR-ESP,Espresso,"Hot Drinks",N/A,2.15
33,ORD024,"2024-02-12 08:55:53",It016,1,Jordan,out,CDR-CCF-LG,"Cold Coffee","Cold Drinks",Large,3.75
34,ORD025,"2024-02-12 09:00:46",It006,1,Taylor,out,HDR-CRM-MD,"Caramel Macchiato","Hot Drinks",Medium,4.20
35,ORD026,"2024-02-12 09:04:25",It019,1,Casey,in,CDR-ICT-MD,"Iced Tea","Cold Drinks",Medium,3.25
36,ORD027,"2024-02-12 09:09:47",It009,1,Jamie,out,HDR-MOC-MD,Mocha,"Hot Drinks",Medium,4.00
37,ORD028,"2024-02-12 09:14:32",It001,1,Morgan,in,HDR-CAP-MD,Cappuccino,"Hot Drinks",Medium,3.45
38,ORD028,"2024-02-12 09:14:32",It016,1,Morgan,,CDR-CCF-LG,"Cold Coffee","Cold Drinks",Large,3.75
39,ORD029,"2024-02-12 09:19:11",It005,1,Riley,in,HDR-FLT,"Flat White","Hot Drinks",N/A,3.15
40,ORD029,"2024-02-12 09:19:11",It020,1,Riley,,CDR-ICT-LG,"Iced Tea","Cold Drinks",Large,3.55
41,ORD029,"2024-02-12 09:19:11",It012,1,Riley,,HDR-WMO-LG,"White Mocha","Hot Drinks",Large,4.70
42,ORD030,"2024-02-12 09:35:06",It004,1,Jordan,out,HDR-LAT-LG,Latte,"Hot Drinks",Large,3.75
43,ORD031,"2024-02-12 09:48:39",It021,1,Harper,out,CDR-LMN-MD,Lemonade,"Cold Drinks",Medium,3.35
44,ORD032,"2024-02-12 10:02:18",It007,1,Casey,out,HDR-CRM-LG,"Caramel Macchiato","Hot Drinks",Large,4.60
45,ORD033,"2024-02-12 10:17:45",It010,1,Riley,out,HDR-MOC-LG,Mocha,"Hot Drinks",Large,4.60
46,ORD034,"2024-02-12 10:33:22",It017,1,Alex,in,CDR-CMO-MD,"Cold Mocha","Cold Drinks",Medium,4.00
47,ORD035,"2024-02-12 10:50:09",It009,1,Jamie,out,HDR-MOC-MD,Mocha,"Hot Drinks",Medium,4.00
48,ORD036,"2024-02-12 11:08:56",It018,1,Taylor,out,CDR-CMO-LG,"Cold Mocha","Cold Drinks",Large,4.60
49,ORD037,"2024-02-12 11:27:34",It005,1,Quinn,in,HDR-FLT,"Flat White","Hot Drinks",N/A,3.15
50,ORD037,"2024-02-12 11:27:34",It002,1,Quinn,,HDR-CAP-LG,Cappuccino,"Hot Drinks",Large,3.75
51,ORD038,"2024-02-12 12:08:22",It015,1,Peyton,in,CDR-CCF-MD,"Cold Coffee","Cold Drinks",Medium,3.45
52,ORD038,"2024-02-12 12:08:22",It003,1,Peyton,,HDR-LAT-MD,Latte,"Hot Drinks",Medium,3.45
53,ORD038,"2024-02-12 12:08:22",It016,1,Peyton,,CDR-CCF-LG,"Cold Coffee","Cold Drinks",Large,3.75
54,ORD039,"2024-02-12 12:10:12",It005,1,Riley,out,HDR-FLT,"Flat White","Hot Drinks",N/A,3.15
55,ORD039,"2024-02-12 12:10:12",It020,1,Riley,,CDR-ICT-LG,"Iced Tea","Cold Drinks",Large,3.55
56,ORD040,"2024-02-12 12:11:03",It006,1,Cameron,out,HDR-CRM-MD,"Caramel Macchiato","Hot Drinks",Medium,4.20
57,ORD040,"2024-02-12 12:11:03",It018,1,Cameron,,CDR-CMO-LG,"Cold Mocha","Cold Drinks",Large,4.60
58,ORD041,"2024-02-12 12:16:09",It023,1,Quinn,in,SNK-SHC,"Sandwich Ham&Cheese",Snacks,N/A,5.60
59,ORD041,"2024-02-12 12:16:09",It011,1,Quinn,,HDR-WMO-MD,"White Mocha","Hot Drinks",Medium,4.50
60,ORD041,"2024-02-12 12:16:09",It011,1,Quinn,,HDR-WMO-MD,"White Mocha","Hot Drinks",Medium,4.50
61,ORD042,"2024-02-12 12:18:14",It004,1,Taylor,out,HDR-LAT-LG,Latte,"Hot Drinks",Large,3.75
62,ORD043,"2024-02-12 12:21:27",It022,1,Jamie,out,CDR-LMN-LG,Lemonade,"Cold Drinks",Large,3.75
63,ORD044,"2024-02-12 12:23:39",It018,1,Riley,out,CDR-CMO-LG,"Cold Mocha","Cold Drinks",Large,4.60
64,ORD045,"2024-02-12 12:26:05",It017,1,Alex,in,CDR-CMO-MD,"Cold Mocha","Cold Drinks",Medium,4.00
65,ORD046,"2024-02-12 12:29:17",It009,1,Casey,out,HDR-MOC-MD,Mocha,"Hot Drinks",Medium,4.00
66,ORD047,"2024-02-12 12:32:29",It009,1,Brooke,out,HDR-MOC-MD,Mocha,"Hot Drinks",Medium,4.00
67,ORD048,"2024-02-12 12:35:33",It012,1,Jordan,out,HDR-WMO-LG,"White Mocha","Hot Drinks",Large,4.70
68,ORD049,"2024-02-12 12:38:46",It005,1,Peyton,in,HDR-FLT,"Flat White","Hot Drinks",N/A,3.15
69,ORD050,"2024-02-12 12:41:58",It019,1,Morgan,out,CDR-ICT-MD,"Iced Tea","Cold Drinks",Medium,3.25
70,ORD051,"2024-02-12 12:44:11",It020,1,Harper,in,CDR-ICT-LG,"Iced Tea","Cold Drinks",Large,3.55
71,ORD052,"2024-02-12 12:47:24",It021,1,Cameron,out,CDR-LMN-MD,Lemonade,"Cold Drinks",Medium,3.35
72,ORD053,"2024-02-12 12:50:37",It014,1,Avery,in,HDR-HCH-LG,"Hot Chocolate","Hot Drinks",Large,4.60
73,ORD054,"2024-02-12 12:53:49",It016,1,Quinn,out,CDR-CCF-LG,"Cold Coffee","Cold Drinks",Large,3.75
74,ORD055,"2024-02-12 12:56:15",It023,1,Taylor,out,SNK-SHC,"Sandwich Ham&Cheese",Snacks,N/A,5.60
75,ORD056,"2024-02-12 12:59:28",It020,1,Jamie,out,CDR-ICT-LG,"Iced Tea","Cold Drinks",Large,3.55
76,ORD057,"2024-02-12 13:02:42",It013,1,Riley,in,HDR-HCH-MD,"Hot Chocolate","Hot Drinks",Medium,4.20
77,ORD058,"2024-02-12 13:05:54",It001,1,Alex,out,HDR-CAP-MD,Cappuccino,"Hot Drinks",Medium,3.45
78,ORD059,"2024-02-12 13:08:06",It003,1,Casey,in,HDR-LAT-MD,Latte,"Hot Drinks",Medium,3.45
79,ORD060,"2024-02-12 13:11:19",It008,1,Brooke,out,HDR-ESP,Espresso,"Hot Drinks",N/A,2.15
80,ORD061,"2024-02-12 13:13:31",It002,1,Harper,in,HDR-CAP-LG,Cappuccino,"Hot Drinks",Large,3.75
81,ORD061,"2024-02-12 13:13:43",It007,1,Harper,,HDR-CRM-LG,"Caramel Macchiato","Hot Drinks",Large,4.60
82,ORD062,"2024-02-12 13:15:56",It019,1,Jordan,out,CDR-ICT-MD,"Iced Tea","Cold Drinks",Medium,3.25
83,ORD063,"2024-02-12 13:17:08",It021,1,Avery,out,CDR-LMN-MD,Lemonade,"Cold Drinks",Medium,3.35
84,ORD063,"2024-02-12 13:17:08",It005,1,Avery,,HDR-FLT,"Flat White","Hot Drinks",N/A,3.15
85,ORD063,"2024-02-12 13:17:08",It014,1,Avery,,HDR-HCH-LG,"Hot Chocolate","Hot Drinks",Large,4.60
86,ORD064,"2024-02-12 13:20:47",It004,1,Casey,in,HDR-LAT-LG,Latte,"Hot Drinks",Large,3.75
87,ORD064,"2024-02-12 13:20:47",It003,1,Casey,,HDR-LAT-MD,Latte,"Hot Drinks",Medium,3.45
88,ORD065,"2024-02-12 13:22:12",It012,1,Taylor,out,HDR-WMO-LG,"White Mocha","Hot Drinks",Large,4.70
89,ORD065,"2024-02-12 13:22:12",It009,1,Taylor,,HDR-MOC-MD,Mocha,"Hot Drinks",Medium,4.00
90,ORD066,"2024-02-12 13:25:38",It018,1,Riley,out,CDR-CMO-LG,"Cold Mocha","Cold Drinks",Large,4.60
91,ORD066,"2024-02-12 13:25:02",It022,1,Riley,,CDR-LMN-LG,Lemonade,"Cold Drinks",Large,3.75
92,ORD067,"2024-02-12 13:27:14",It011,1,Jamie,out,HDR-WMO-MD,"White Mocha","Hot Drinks",Medium,4.50
93,ORD067,"2024-02-12 13:27:14",It015,1,Jamie,,CDR-CCF-MD,"Cold Coffee","Cold Drinks",Medium,3.45
94,ORD068,"2024-02-12 13:30:38",It006,1,Morgan,out,HDR-CRM-MD,"Caramel Macchiato","Hot Drinks",Medium,4.20
95,ORD068,"2024-02-12 13:30:38",It022,1,Morgan,,CDR-LMN-LG,Lemonade,"Cold Drinks",Large,3.75
96,ORD069,"2024-02-12 13:32:57",It010,1,Quinn,out,HDR-MOC-LG,Mocha,"Hot Drinks",Large,4.60
97,ORD069,"2024-02-12 13:32:57",It024,1,Quinn,,SNK-SSM,"Sandwich Salami&Mozzarella",Snacks,N/A,5.50
98,ORD070,"2024-02-12 13:35:21",It001,1,Peyton,in,HDR-CAP-MD,Cappuccino,"Hot Drinks",Medium,3.45
99,ORD070,"2024-02-12 13:35:21",It017,1,Peyton,,CDR-CMO-MD,"Cold Mocha","Cold Drinks",Medium,4.00
100,ORD078,"2024-02-12 13:55:45",It020,1,Alex,out,CDR-ICT-LG,"Iced Tea","Cold Drinks",Large,3.55
101,ORD079,"2024-02-12 14:05:16",It021,1,Harper,in,CDR-LMN-MD,Lemonade,"Cold Drinks",Medium,3.35
102,ORD080,"2024-02-12 14:17:28",It004,1,Taylor,out,HDR-LAT-LG,Latte,"Hot Drinks",Large,3.75
103,ORD080,"2024-02-12 14:17:28",It013,1,Taylor,,HDR-HCH-MD,"Hot Chocolate","Hot Drinks",Medium,4.20
104,ORD081,"2024-02-12 14:30:51",It018,1,Jordan,in,CDR-CMO-LG,"Cold Mocha","Cold Drinks",Large,4.60
105,ORD082,"2024-02-12 14:45:04",It007,1,Casey,in,HDR-CRM-LG,"Caramel Macchiato","Hot Drinks",Large,4.60
106,ORD082,"2024-02-12 14:45:04",It011,1,Casey,,HDR-WMO-MD,"White Mocha","Hot Drinks",Medium,4.50
107,ORD083,"2024-02-12 15:00:29",It013,1,Riley,out,HDR-HCH-MD,"Hot Chocolate","Hot Drinks",Medium,4.20
108,ORD084,"2024-02-12 15:20:42",It009,1,Jamie,in,HDR-MOC-MD,Mocha,"Hot Drinks",Medium,4.00
109,ORD084,"2024-02-12 15:20:42",It003,1,Jamie,,HDR-LAT-MD,Latte,"Hot Drinks",Medium,3.45
110,ORD085,"2024-02-12 15:40:08",It014,1,Morgan,out,HDR-HCH-LG,"Hot Chocolate","Hot Drinks",Large,4.60
111,ORD085,"2024-02-12 15:40:12",It022,1,Morgan,,CDR-LMN-LG,Lemonade,"Cold Drinks",Large,3.75
112,ORD086,"2024-02-12 16:00:23",It005,1,Brooke,out,HDR-FLT,"Flat White","Hot Drinks",N/A,3.15
113,ORD087,"2024-02-12 16:25:34",It017,1,Avery,out,CDR-CMO-MD,"Cold Mocha","Cold Drinks",Medium,4.00
114,ORD088,"2024-02-12 16:50:45",It012,1,Quinn,out,HDR-WMO-LG,"White Mocha","Hot Drinks",Large,4.70
115,ORD089,"2024-02-12 17:00:45",It001,1,Sam,out,HDR-CAP-MD,Cappuccino,"Hot Drinks",Medium,3.45
116,ORD090,"2024-02-13 07:14:00",It002,1,Anna,out,HDR-CAP-LG,Cappuccino,"Hot Drinks",Large,3.75
117,ORD091,"2024-02-13 07:19:00",It004,1,Chris,in,HDR-LAT-LG,Latte,"Hot Drinks",Large,3.75
118,ORD091,"2024-02-13 07:19:00",It028,1,Chris,n/a,NULL,NULL,NULL,NULL,NULL
119,ORD092,"2024-02-13 07:24:00",It017,1,Pat,out,CDR-CMO-MD,"Cold Mocha","Cold Drinks",Medium,4.00
120,ORD093,"2024-02-13 07:30:00",It023,1,Alex,in,SNK-SHC,"Sandwich Ham&Cheese",Snacks,N/A,5.60
121,ORD093,"2024-02-13 07:30:00",It011,1,Alex,n/a,HDR-WMO-MD,"White Mocha","Hot Drinks",Medium,4.50
122,ORD094,"2024-02-13 07:35:00",It006,1,Jordan,out,HDR-CRM-MD,"Caramel Macchiato","Hot Drinks",Medium,4.20
123,ORD095,"2024-02-13 07:40:00",It021,1,Taylor,in,CDR-LMN-MD,Lemonade,"Cold Drinks",Medium,3.35
124,ORD096,"2024-02-13 07:45:00",It015,1,Casey,out,CDR-CCF-MD,"Cold Coffee","Cold Drinks",Medium,3.45
125,ORD097,"2024-02-13 07:50:00",It008,1,Jamie,in,HDR-ESP,Espresso,"Hot Drinks",N/A,2.15
126,ORD097,"2024-02-13 07:50:00",It024,1,Jamie,n/a,SNK-SSM,"Sandwich Salami&Mozzarella",Snacks,N/A,5.50
127,ORD098,"2024-02-13 07:56:00",It001,1,Morgan,out,HDR-CAP-MD,Cappuccino,"Hot Drinks",Medium,3.45
128,ORD099,"2024-02-13 08:01:00",It019,1,Riley,in,CDR-ICT-MD,"Iced Tea","Cold Drinks",Medium,3.25
129,ORD100,"2024-02-13 08:06:00",It003,1,Cameron,out,HDR-LAT-MD,Latte,"Hot Drinks",Medium,3.45
130,ORD100,"2024-02-13 08:06:00",It027,1,Cameron,n/a,NULL,NULL,NULL,NULL,NULL
131,ORD101,"2024-02-13 08:11:00",It022,1,Quinn,in,CDR-LMN-LG,Lemonade,"Cold Drinks",Large,3.75
132,ORD102,"2024-02-13 08:17:00",It018,1,Peyton,out,CDR-CMO-LG,"Cold Mocha","Cold Drinks",Large,4.60
133,ORD103,"2024-02-13 08:22:00",It005,1,Brooke,in,HDR-FLT,"Flat White","Hot Drinks",N/A,3.15
134,ORD103,"2024-02-13 08:22:00",It012,1,Brooke,n/a,HDR-WMO-LG,"White Mocha","Hot Drinks",Large,4.70
135,ORD104,"2024-02-13 08:27:00",It010,1,Sam,out,HDR-MOC-LG,Mocha,"Hot Drinks",Large,4.60
136,ORD105,"2024-02-13 08:32:00",It007,1,Alex,in,HDR-CRM-LG,"Caramel Macchiato","Hot Drinks",Large,4.60
137,ORD106,"2024-02-13 08:38:00",It026,1,Pat,out,NULL,NULL,NULL,NULL,NULL
138,ORD106,"2024-02-13 08:38:00",It020,1,Pat,n/a,CDR-ICT-LG,"Iced Tea","Cold Drinks",Large,3.55
139,ORD107,"2024-02-13 08:43:00",It014,1,Chris,in,HDR-HCH-LG,"Hot Chocolate","Hot Drinks",Large,4.60
140,ORD108,"2024-02-13 08:48:00",It009,1,Jordan,out,HDR-MOC-MD,Mocha,"Hot Drinks",Medium,4.00
141,ORD109,"2024-02-13 08:53:00",It002,1,Taylor,in,HDR-CAP-LG,Cappuccino,"Hot Drinks",Large,3.75
142,ORD109,"2024-02-13 08:53:00",It016,1,Taylor,n/a,CDR-CCF-LG,"Cold Coffee","Cold Drinks",Large,3.75
143,ORD110,"2024-02-13 08:58:00",It013,1,Casey,out,HDR-HCH-MD,"Hot Chocolate","Hot Drinks",Medium,4.20
144,ORD111,"2024-02-13 09:04:00",It025,1,Jamie,in,NULL,NULL,NULL,NULL,NULL
145,ORD112,"2024-02-13 09:09:00",It004,1,Morgan,out,HDR-LAT-LG,Latte,"Hot Drinks",Large,3.75
146,ORD113,"2024-02-13 09:14:00",It021,1,Riley,in,CDR-LMN-MD,Lemonade,"Cold Drinks",Medium,3.35
147,ORD114,"2024-02-13 09:19:00",It006,1,Cameron,out,HDR-CRM-MD,"Caramel Macchiato","Hot Drinks",Medium,4.20
148,ORD115,"2024-02-13 09:25:00",It019,1,Quinn,in,CDR-ICT-MD,"Iced Tea","Cold Drinks",Medium,3.25
149,ORD116,"2024-02-13 09:30:00",It003,1,Peyton,out,HDR-LAT-MD,Latte,"Hot Drinks",Medium,3.45
150,ORD117,"2024-02-13 09:35:00",It022,1,Brooke,in,CDR-LMN-LG,Lemonade,"Cold Drinks",Large,3.75
151,ORD117,"2024-02-13 09:35:00",It012,1,Brooke,n/a,HDR-WMO-LG,"White Mocha","Hot Drinks",Large,4.70
152,ORD118,"2024-02-13 09:40:00",It018,1,Sam,out,CDR-CMO-LG,"Cold Mocha","Cold Drinks",Large,4.60
153,ORD119,"2024-02-13 09:46:00",It005,1,Alex,in,HDR-FLT,"Flat White","Hot Drinks",N/A,3.15
154,ORD120,"2024-02-13 09:51:00",It026,1,Pat,out,NULL,NULL,NULL,NULL,NULL
155,ORD121,"2024-02-13 09:56:00",It014,1,Chris,in,HDR-HCH-LG,"Hot Chocolate","Hot Drinks",Large,4.60
156,ORD122,"2024-02-13 10:01:00",It009,1,Jordan,out,HDR-MOC-MD,Mocha,"Hot Drinks",Medium,4.00
157,ORD123,"2024-02-13 10:16:00",It027,1,Morgan,in,NULL,NULL,NULL,NULL,NULL
158,ORD124,"2024-02-13 10:31:00",It005,1,Casey,out,HDR-FLT,"Flat White","Hot Drinks",N/A,3.15
159,ORD125,"2024-02-13 10:45:00",It014,1,Riley,in,HDR-HCH-LG,"Hot Chocolate","Hot Drinks",Large,4.60
160,ORD125,"2024-02-13 10:45:00",It023,1,Riley,n/a,SNK-SHC,"Sandwich Ham&Cheese",Snacks,N/A,5.60
161,ORD126,"2024-02-13 11:00:00",It018,1,Jamie,out,CDR-CMO-LG,"Cold Mocha","Cold Drinks",Large,4.60
162,ORD127,"2024-02-13 11:15:00",It002,1,Alex,in,HDR-CAP-LG,Cappuccino,"Hot Drinks",Large,3.75
163,ORD128,"2024-02-13 11:29:00",It011,1,Sam,out,HDR-WMO-MD,"White Mocha","Hot Drinks",Medium,4.50
164,ORD129,"2024-02-13 11:43:00",It026,1,Quinn,in,NULL,NULL,NULL,NULL,NULL
165,ORD129,"2024-02-13 11:43:00",It020,1,Quinn,n/a,CDR-ICT-LG,"Iced Tea","Cold Drinks",Large,3.55
166,ORD130,"2024-02-13 11:57:00",It008,1,Pat,out,HDR-ESP,Espresso,"Hot Drinks",N/A,2.15
167,ORD131,"2024-02-13 12:03:00",It022,1,Chris,in,CDR-LMN-LG,Lemonade,"Cold Drinks",Large,3.75
168,ORD132,"2024-02-13 12:10:00",It004,1,Alex,out,HDR-LAT-LG,Latte,"Hot Drinks",Large,3.75
169,ORD133,"2024-02-13 12:17:00",It015,1,Jordan,in,CDR-CCF-MD,"Cold Coffee","Cold Drinks",Medium,3.45
170,ORD134,"2024-02-13 12:24:00",It026,1,Morgan,out,NULL,NULL,NULL,NULL,NULL
171,ORD134,"2024-02-13 12:24:00",It018,1,Morgan,n/a,CDR-CMO-LG,"Cold Mocha","Cold Drinks",Large,4.60
172,ORD135,"2024-02-13 12:31:00",It007,1,Taylor,in,HDR-CRM-LG,"Caramel Macchiato","Hot Drinks",Large,4.60
173,ORD136,"2024-02-13 12:38:00",It020,1,Casey,out,CDR-ICT-LG,"Iced Tea","Cold Drinks",Large,3.55
174,ORD137,"2024-02-13 12:45:00",It003,1,Jamie,in,HDR-LAT-MD,Latte,"Hot Drinks",Medium,3.45
175,ORD138,"2024-02-13 12:52:00",It016,1,Riley,out,CDR-CCF-LG,"Cold Coffee","Cold Drinks",Large,3.75
176,ORD139,"2024-02-13 12:59:00",It009,1,Cameron,in,HDR-MOC-MD,Mocha,"Hot Drinks",Medium,4.00
177,ORD139,"2024-02-13 12:59:00",It025,1,Cameron,n/a,NULL,NULL,NULL,NULL,NULL
178,ORD140,"2024-02-13 13:06:00",It012,1,Quinn,out,HDR-WMO-LG,"White Mocha","Hot Drinks",Large,4.70
179,ORD141,"2024-02-13 13:13:00",It001,1,Peyton,in,HDR-CAP-MD,Cappuccino,"Hot Drinks",Medium,3.45
180,ORD142,"2024-02-13 13:20:00",It019,1,Brooke,out,CDR-ICT-MD,"Iced Tea","Cold Drinks",Medium,3.25
181,ORD143,"2024-02-13 13:27:00",It005,1,Sam,in,HDR-FLT,"Flat White","Hot Drinks",N/A,3.15
182,ORD143,"2024-02-13 13:27:00",It011,1,Sam,n/a,HDR-WMO-MD,"White Mocha","Hot Drinks",Medium,4.50
183,ORD144,"2024-02-13 13:34:00",It028,1,Pat,out,NULL,NULL,NULL,NULL,NULL
184,ORD145,"2024-02-13 13:41:00",It010,1,Alex,in,HDR-MOC-LG,Mocha,"Hot Drinks",Large,4.60
185,ORD146,"2024-02-13 13:48:00",It024,1,Chris,out,SNK-SSM,"Sandwich Salami&Mozzarella",Snacks,N/A,5.50
186,ORD147,"2024-02-13 13:55:00",It017,1,Jordan,in,CDR-CMO-MD,"Cold Mocha","Cold Drinks",Medium,4.00
187,ORD147,"2024-02-13 13:55:00",It021,1,Jordan,n/a,CDR-LMN-MD,Lemonade,"Cold Drinks",Medium,3.35
188,ORD148,"2024-02-13 14:03:00",It006,1,Morgan,out,HDR-CRM-MD,"Caramel Macchiato","Hot Drinks",Medium,4.20
189,ORD149,"2024-02-13 14:10:00",It023,1,Taylor,in,SNK-SHC,"Sandwich Ham&Cheese",Snacks,N/A,5.60
190,ORD150,"2024-02-13 14:30:00",It002,1,Jordan,out,HDR-CAP-LG,Cappuccino,"Hot Drinks",Large,3.75
191,ORD151,"2024-02-13 14:50:00",It018,1,Chris,in,CDR-CMO-LG,"Cold Mocha","Cold Drinks",Large,4.60
192,ORD152,"2024-02-13 15:10:00",It005,1,Alex,out,HDR-FLT,"Flat White","Hot Drinks",N/A,3.15
193,ORD153,"2024-02-13 15:30:00",It027,1,Morgan,in,NULL,NULL,NULL,NULL,NULL
194,ORD154,"2024-02-13 15:50:00",It011,1,Taylor,out,HDR-WMO-MD,"White Mocha","Hot Drinks",Medium,4.50
195,ORD155,"2024-02-13 16:09:00",It004,1,Casey,in,HDR-LAT-LG,Latte,"Hot Drinks",Large,3.75
196,ORD155,"2024-02-13 16:09:00",It028,1,Casey,n/a,NULL,NULL,NULL,NULL,NULL
197,ORD156,"2024-02-13 16:29:00",It014,1,Jamie,out,HDR-HCH-LG,"Hot Chocolate","Hot Drinks",Large,4.60
198,ORD157,"2024-02-13 16:49:00",It021,1,Riley,in,CDR-LMN-MD,Lemonade,"Cold Drinks",Medium,3.35
199,ORD158,"2024-02-13 17:00:00",It007,1,Cameron,out,HDR-CRM-LG,"Caramel Macchiato","Hot Drinks",Large,4.60
200,ORD159,"2024-02-14 07:06:00",It001,1,Elvis,out,HDR-CAP-MD,Cappuccino,"Hot Drinks",Medium,3.45
201,ORD160,"2024-02-14 07:13:00",It014,1,Jordan,in,HDR-HCH-LG,"Hot Chocolate","Hot Drinks",Large,4.60
202,ORD161,"2024-02-14 07:20:00",It026,1,Chris,out,NULL,NULL,NULL,NULL,NULL
203,ORD162,"2024-02-14 07:27:00",It008,1,Alex,in,HDR-ESP,Espresso,"Hot Drinks",N/A,2.15
204,ORD162,"2024-02-14 07:27:00",It022,1,Alex,n/a,CDR-LMN-LG,Lemonade,"Cold Drinks",Large,3.75
205,ORD163,"2024-02-14 07:34:00",It017,1,Morgan,out,CDR-CMO-MD,"Cold Mocha","Cold Drinks",Medium,4.00
206,ORD164,"2024-02-14 07:41:00",It005,1,Taylor,in,HDR-FLT,"Flat White","Hot Drinks",N/A,3.15
207,ORD165,"2024-02-14 07:49:00",It023,1,Casey,out,SNK-SHC,"Sandwich Ham&Cheese",Snacks,N/A,5.60
208,ORD166,"2024-02-14 07:56:00",It011,1,Jamie,in,HDR-WMO-MD,"White Mocha","Hot Drinks",Medium,4.50
209,ORD167,"2024-02-14 08:03:00",It019,1,Riley,out,CDR-ICT-MD,"Iced Tea","Cold Drinks",Medium,3.25
210,ORD168,"2024-02-14 08:10:00",It003,1,Cameron,in,HDR-LAT-MD,Latte,"Hot Drinks",Medium,3.45
211,ORD169,"2024-02-14 08:17:00",It027,1,Quinn,out,NULL,NULL,NULL,NULL,NULL
