item_id,recipe_id,item_name,item_cat,item_size,item_price,row_id,ing_id,quantity,receipe_ing_id
It019,CDR-ICT-MD,"Iced Tea","Cold Drinks",Medium,3.25,49,ING010,20,CDR-ICT-MD-ING010
It019,CDR-ICT-MD,"Iced Tea","Cold Drinks",Medium,3.25,48,ING017,10,CDR-ICT-MD-ING017
It020,CDR-ICT-LG,"Iced Tea","Cold Drinks",Large,3.55,51,ING010,25,CDR-ICT-LG-ING010
It020,CDR-ICT-LG,"Iced Tea","Cold Drinks",Large,3.55,50,ING016,15,CDR-ICT-LG-ING016
It021,CDR-LMN-MD,Lemonade,"Cold Drinks",Medium,3.35,53,ING010,30,CDR-LMN-MD-ING010
It021,CDR-LMN-MD,Lemonade,"Cold Drinks",Medium,3.35,52,ING014,1,CDR-LMN-MD-ING014
It022,CDR-LMN-LG,Lemonade,"Cold Drinks",Large,3.75,55,ING010,40,CDR-LMN-LG-ING010
It022,CDR-LMN-LG,Lemonade,"Cold Drinks",Large,3.75,54,ING014,1,CDR-LMN-LG-ING014
It023,SNK-SHC,"Sandwich Ham&Cheese",Snacks,N/A,5.60,58,ING003,20,SNK-SHC-ING003
It023,SNK-SHC,"Sandwich Ham&Cheese",Snacks,N/A,5.60,57,ING015,50,SNK-SHC-ING015
It023,SNK-SHC,"Sandwich Ham&Cheese",Snacks,N/A,5.60,56,ING011,1,SNK-SHC-ING011
It024,SNK-SSM,"Sandwich Salami&Mozzarella",Snacks,N/A,5.50,61,ING004,20,SNK-SSM-ING004
It024,SNK-SSM,"Sandwich Salami&Mozzarella",Snacks,N/A,5.50,60,ING016,50,SNK-SSM-ING016
It024,SNK-SSM,"Sandwich Salami&Mozzarella",Snacks,N/A,5.50,59,ING011,1,SNK-SSM-ING011
